"BehaviorSpace results (NetLogo 6.0.3)"
"challenge.nlogo"
"envy"
"05/27/2018 15:58:54:116 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","max-payoff-high","n-ticks","p-start-low","n-history","n-investors","p-start-high","p-payoff-low","p-payoff-high","sigma-mutation","randomize-step","can-borrow","tau","n-predictors","max-payoff-low","n-coefficients","p-experiencers","envy-threshold","[step]","census POOL-STABLE","outgoings POOL-STABLE","census POOL-LOW","outgoings POOL-LOW","census POOL-HIGH","outgoings POOL-HIGH","mean [wealth] of investors","standard-deviation [wealth] of investors","mean [sum-squares-error] of investors"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","16","35","2.488753662384494","36","6.634615384615385","29","5.408333333333333","7.999999999999993","8.342795105304921","16225.29"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","16","0","0.4470554231435906","0","5.6806087293115075","100","5","8.000000000000002","3.2123363125462747","16951.1"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","14","79","0.4898989898989899","0","0","21","6.26031746031746","3.9999999999999982","2.2858238443092835","5342.3"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","18","54","0.2731553665642964","43","4.606023069791186","3","5.9259259259259265","6.399999999999999","4.713981900394487","23109.73"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","17","15","0.42075804531161465","83","5.346455274646125","2","4.705882352941177","8.000000000000002","3.212336312546275","23045.53"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","17","24","2.3423563881265825","27","6.418635830400537","49","5.090196078431372","8.799999999999994","8.409123690594617","10084.2"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","19","23","0.4418451298801343","56","4.363600802960071","21","5.614035087719299","7.2","4.870776357000109","23910.55"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","15","82","0.4572390572390572","0","0","18","5.842962962962963","3.9999999999999996","2.2858238443092835","5493.09"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","18","58","0.3973825983498583","19","5.049429981610229","23","4.63768115942029","8.8","3.4135362921412282","23276.29"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","18","50","2.212225477675106","38","6.06204495093384","12","4.807407407407407","8.799999999999997","8.409123690594614","9190.08"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","20","14","0.7054671591004135","34","4.263067821635596","52","5.333333333333334","8.800000000000004","5.611293128892466","24807.48"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","19","66","0.44026357802203475","27","4.783670508893901","7","4.393592677345538","9.6","3.523937099953152","23438.76"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","16","45","0.42866161616161613","0","0","55","5.477777777777778","4","2.2858238443092835","6229.98"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","19","55","2.0957925577974685","19","5.964596601715715","26","4.716329284750337","10.399999999999999","8.668021894954316","7222.91"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","20","40","0.41825039912093304","38","4.544486983449206","22","4.173913043478261","9.599999999999998","3.5239370999531516","21408.79"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","21","14","0.6718734848575366","72","4.060064592033902","14","5.07936507936508","8.8","5.611293128892466","14113.38"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","20","33","1.991002929907595","34","5.66636677162993","33","4.6017249417249415","11.200000000000003","8.77275914897609","6848.67"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","17","76","0.4034462269756387","0","0","24","5.155555555555556","3.9999999999999996","2.2858238443092835","5948.57"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","21","40","0.39833371344850765","42","4.328082841380196","18","3.9751552795031055","9.600000000000001","3.523937099953154","21157.91"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","22","35","0.6413337810003759","62","3.875516201486906","3","4.848484848484849","8.8","5.611293128892467","11758.3"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","21","52","1.896193266578662","17","5.620629418359036","31","4.382595182595183","12","9.188451264615775","5128.73"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","18","77","0.38103254769921435","0","0","23","5.062372517444981","4.799999999999999","2.8932934494119413","5384.75"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","22","50","0.3802276355644846","36","4.131351803135642","14","3.794466403162055","9.6","3.5239370999531525","20612.15"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","23","37","0.6134497035655769","58","3.7669855120669355","5","4.63768115942029","9.6","5.851479181097124","11429.11"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","22","12","1.8100026635523592","70","5.417094314927132","18","4.38540651267924","13.599999999999998","9.586384437369277","6846.04"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","23","71","0.3636959992355939","27","3.951727811694962","2","3.6294896030245747","9.6","3.523937099953152","19993.29"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","19","69","0.36097820308346623","0","4.2105263157894735","31","4.795931858632088","4.8","2.8932934494119427","3044.27"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","24","74","0.5878892992503445","5","3.6100277823974802","21","4.444444444444445","9.600000000000007","5.8514791810971225","11526.6"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","23","22","1.7313068955718218","16","5.181568475147691","62","4.194736664301882","13.600000000000001","9.586384437369277","8101.09"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","24","61","0.34854199926744417","18","3.7870724862076717","21","3.4782608695652173","9.600000000000005","3.523937099953153","18986.9"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","25","67","0.5643737272803308","10","3.465626671101581","23","4.266666666666667","9.600000000000001","5.851479181097123","10583.56"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","20","0","0.3429292929292929","97","4.041237113402062","3","4.556135265700483","5.599999999999999","2.891211797630449","12734.4"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","24","54","1.6591691082563294","32","4.965669788683204","14","4.258051208051207","14.399999999999999","10.24617313646137","6880.44"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","25","52","0.3961387808352079","23","3.6355895867593646","25","3.339130434782609","10.399999999999999","3.583429831371717","18877.92"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","21","39","0.32659932659932656","12","4.166257568319424","49","4.33917644352427","6.4","3.825017525979205","13952.77"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","26","51","0.5426670454618565","13","3.332333337597674","36","4.102564102564103","9.600000000000001","5.851479181097123","10005.22"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","26","18","0.38090267388000765","55","3.495759218037851","27","3.210702341137124","10.399999999999995","3.5834298313717157","9104.6"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","25","33","1.5928023439260761","47","4.835128103518855","20","4.087729159729159","15.200000000000005","10.361035430434477","6958.93"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","27","19","0.5225682660003063","77","3.2089135843533154","4","4.691358024691358","10.400000000000002","7.394318586579088","12442.36"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","22","68","0.3117539026629936","9","3.9768822243049047","23","4.300043917435222","7.200000000000001","4.378640911910558","14987.38"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","27","57","0.36679516744000734","34","3.366286654406819","9","3.0917874396135265","10.400000000000002","3.5834298313717166","4604.68"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","26","33","1.624780808553628","18","4.649161637998899","49","3.930508807431884","16.000000000000004","10.21866679260935","7281.07"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","28","78","0.5405351502731891","8","3.0943095277692687","14","4.523809523809524","11.199999999999996","7.321956514523046","11927.99"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","28","77","0.35369534003143566","20","3.38891927389229","3","2.981366459627329","11.199999999999998","4.321172227827271","4047.51"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","23","64","0.3525472112428634","12","3.8039743015090393","24","4.113085486242386","8.000000000000004","4.361098952427126","14906.24"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","27","50","1.6238630008294195","37","4.476970466221162","13","3.784934407156629","16.800000000000008","9.984692595448923","6455.71"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","29","44","0.5845919319252106","20","3.1255402337082594","36","4.367816091954023","12.800000000000002","7.424514555507101","11980.92"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","24","67","0.3378577441077441","10","3.9788087056128294","23","4.086634460547504","9.600000000000003","4.364069253794678","15086.57"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","29","52","0.3414989489958689","14","3.4691043235610293","34","2.87856071964018","11.999999999999998","5.0013241246252385","3952.56"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","30","48","0.6206610897499261","45","3.0213555592513175","7","4.222222222222222","13.600000000000012","7.4587177796842115","11367.4"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","28","60","1.5658678936569401","7","4.317078663856121","33","3.7363382649096937","17.599999999999994","10.165637962335191","6776.14"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","30","27","0.3301156506960066","69","3.3534675127756612","4","3.449275362318841","12.8","6.700548502096859","5332.33"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","25","28","0.3243434343434343","45","3.8196563573883164","27","3.9231690821256042","9.600000000000003","4.364069253794678","15660.6"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","31","71","0.6006397642741219","6","2.923892476694823","23","4.086021505376344","13.600000000000001","7.458717779684211","9919.45"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","29","50","1.5670448628411837","38","4.16821388234384","12","3.6074990143955663","18.400000000000002","10.087897518606159","6847.78"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","31","63","0.31946675873807096","5","3.245291141395801","32","3.418653576437588","13.599999999999998","6.912897684883809","6072.93"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","32","26","0.5818697716405556","52","2.83252083679811","22","3.9583333333333335","13.600000000000005","7.458717779684212","9281.34"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","26","25","0.31186868686868685","20","3.8265926513349195","55","3.7722779635823116","10.400000000000004","4.851899451392553","15818.87"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","30","20","1.514810034079811","38","4.029273419599046","42","3.487249047249047","18.399999999999995","10.087897518606159","7130.07"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","32","47","0.3094834225275062","35","3.2153043646557538","18","3.311820652173913","14.399999999999999","7.160569822988483","5942.66"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","33","49","0.5642373543181146","34","2.746686872046652","17","3.8383838383838387","13.600000000000005","7.458717779684212","8236.96"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","31","42","1.4659451942707848","17","4.051099514222986","41","3.4376997074085978","20","10.482453586066464","7087"
"1","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","27","22","0.3003179947624392","41","3.7571343869223344","37","3.6325639649311148","11.200000000000005","4.708730107711188","16252.35"
"3","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","33","50","0.30010513699636965","39","3.1800309612201874","11","3.2114624505928853","15.200000000000006","7.11784863468956","5925.2"
"2","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","32","59","1.4625072883057548","15","4.0911693210701845","26","3.330271591552079","21.6","10.525888718344833","5258.85"
"4","80","100","0.1","10","100","0.1","0.5","0.25","0.1","false","true","0","10","40","10","0","1","34","43","0.5476421380146406","18","2.66590196404528","39","3.7254901960784315","13.600000000000005","7.458717779684211","8117.01"
