"BehaviorSpace results (NetLogo 6.0.3)"
"challenge.nlogo"
"cartel"
"05/21/2018 11:32:54:317 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","max-payoff-high","n-ticks","can-borrow","p-start-low","p-experiencers","n-history","g-random-jump","tau-weight","n-investors","n-cartel","p-start-high","n-memory","p-payoff-low","sigma-mutation","p-payoff-high","randomize-step","tau","n-predictors","epsilon","max-payoff-low","epsilon-steady","n-coefficients","[step]","outgoings POOL-HIGH"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","33","1.1857927647401332"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","32","1.6208282367043128"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","33","1.4682184001069452"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","30","1.2936938305359358"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","34","1.1509165069536587"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","33","1.5717122295314547"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","34","1.4250355059861526"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","31","1.2519617714863895"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","35","1.1180331781835542"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","34","1.5927122900074204"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","32","1.2128379661274398"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","35","1.4689762904712043"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","36","1.0869767010117888"
"3","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","35","1.5472062245786369"
"1","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","33","1.1760853004872143"
"4","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","36","1.4281713935136708"
"2","80","100","true","0.1","0.1","10","false","0.95","100","0","0.1","1","0.5","0.1","0.25","false","0","9","0.1","40","2","9","37","1.0575989523357945"
