step,who,wealth,payoffs,choices,strategy,tau
53,72,55.03922695812104,0,0,1,0
54,72,55.03922695812104,0,0,1,0
55,72,55.03922695812104,0,0,1,0
56,72,55.03922695812104,0,2,1,0
57,72,55.03922695812104,0,2,1,0
58,72,55.03922695812104,0.898876404494382,0,1,0
59,72,55.03922695812104,0,0,1,0
60,72,55.03922695812104,0,0,1,0
61,72,55.03922695812104,0.8791208791208791,0,1,0
62,72,55.03922695812104,0.8421052631578947,0,1,0
63,72,55.03922695812104,0.8888888888888888,0,1,0
64,72,55.03922695812104,0,0,1,0
65,72,55.03922695812104,0.8791208791208791,0,1,0
66,72,55.03922695812104,0,0,1,0
67,72,55.03922695812104,0,0,1,0
68,72,55.03922695812104,0.8888888888888888,0,1,0
69,72,55.03922695812104,0,0,1,0
70,72,55.03922695812104,0,0,1,0
71,72,55.03922695812104,0.9090909090909091,0,1,0
72,72,55.03922695812104,0,0,1,0
73,72,55.03922695812104,0.9090909090909091,0,1,0
74,72,55.03922695812104,0,0,1,0
75,72,55.03922695812104,0,0,1,0
76,72,55.03922695812104,16,2,1,0
77,72,55.03922695812104,0,0,1,0
78,72,55.03922695812104,0,0,1,0
79,72,55.03922695812104,0,0,1,0
80,72,55.03922695812104,0.9195402298850575,0,1,0
81,72,55.03922695812104,0,0,1,0
82,72,55.03922695812104,0,0,1,0
83,72,55.03922695812104,0,0,1,0
84,72,55.03922695812104,0,0,1,0
85,72,55.03922695812104,0,0,1,0
86,72,55.03922695812104,0,0,1,0
87,72,55.03922695812104,0.8888888888888888,0,1,0
88,72,55.03922695812104,13.333333333333334,2,1,0
89,72,55.03922695812104,0,0,1,0
90,72,55.03922695812104,0,0,1,0
91,72,55.03922695812104,0,0,1,0
92,72,55.03922695812104,0,0,1,0
93,72,55.03922695812104,0,0,1,0
94,72,55.03922695812104,0,0,1,0
95,72,55.03922695812104,0,0,1,0
96,72,55.03922695812104,0,0,1,0
97,72,55.03922695812104,0,0,1,0
98,72,55.03922695812104,0.898876404494382,0,1,0
99,72,55.03922695812104,0,1,1,0
100,72,55.03922695812104,0.8791208791208791,0,1,0
101,72,55.03922695812104,0,0,1,0
0,75,75.52708463356139,0.9411764705882353,0,1,0
1,75,75.52708463356139,0,0,1,0
2,75,75.52708463356139,0,0,1,0
3,75,75.52708463356139,0,0,1,0
4,75,75.52708463356139,0,0,1,0
5,75,75.52708463356139,0,0,1,0
6,75,75.52708463356139,0.8602150537634409,0,1,0
7,75,75.52708463356139,0,1,1,0
8,75,75.52708463356139,0,0,1,0
9,75,75.52708463356139,0.8602150537634409,0,1,0
10,75,75.52708463356139,0,0,1,0
11,75,75.52708463356139,0,1,1,0
12,75,75.52708463356139,0,0,1,0
13,75,75.52708463356139,0.8695652173913043,0,1,0
14,75,75.52708463356139,0,0,1,0
15,75,75.52708463356139,0,0,1,0
16,75,75.52708463356139,0,0,1,0
17,75,75.52708463356139,0,0,1,0
18,75,75.52708463356139,0.9302325581395349,0,1,0
19,75,75.52708463356139,0,0,1,0
20,75,75.52708463356139,0,0,1,0
21,75,75.52708463356139,0.8602150537634409,0,1,0
22,75,75.52708463356139,0.8695652173913043,0,1,0
23,75,75.52708463356139,0,0,1,0
24,75,75.52708463356139,0.898876404494382,0,1,0
25,75,75.52708463356139,0.8602150537634409,0,1,0
26,75,75.52708463356139,0.9090909090909091,0,1,0
27,75,75.52708463356139,0,0,1,0
28,75,75.52708463356139,0,0,1,0
29,75,75.52708463356139,0,0,1,0
30,75,75.52708463356139,0.8695652173913043,0,1,0
31,75,75.52708463356139,0.8695652173913043,0,1,0
32,75,75.52708463356139,0,2,1,0
33,75,75.52708463356139,0.8791208791208791,0,1,0
34,75,75.52708463356139,0.8695652173913043,0,1,0
35,75,75.52708463356139,8.88888888888889,2,1,0
36,75,75.52708463356139,0,0,1,0
37,75,75.52708463356139,0.8888888888888888,0,1,0
38,75,75.52708463356139,0,0,1,0
39,75,75.52708463356139,0,0,1,0
40,75,75.52708463356139,0,0,1,0
41,75,75.52708463356139,0,0,1,0
42,75,75.52708463356139,40,1,1,0
43,75,75.52708463356139,0,0,1,0
44,75,75.52708463356139,0,0,1,0
45,75,75.52708463356139,0,0,1,0
46,75,75.52708463356139,0,0,1,0
47,75,75.52708463356139,0,0,1,0
48,75,75.52708463356139,0,0,1,0
49,75,75.52708463356139,0,0,1,0
50,75,75.52708463356139,0,0,1,0
51,75,75.52708463356139,0.8791208791208791,0,1,0
52,75,75.52708463356139,0,0,1,0
53,75,75.52708463356139,0,0,1,0
54,75,75.52708463356139,0,0,1,0
55,75,75.52708463356139,0,0,1,0
56,75,75.52708463356139,0,0,1,0
57,75,75.52708463356139,0.8695652173913043,0,1,0
58,75,75.52708463356139,0.898876404494382,0,1,0
59,75,75.52708463356139,0,2,1,0
60,75,75.52708463356139,0,0,1,0
61,75,75.52708463356139,0.8791208791208791,0,1,0
62,75,75.52708463356139,0.8421052631578947,0,1,0
63,75,75.52708463356139,0.8888888888888888,0,1,0
64,75,75.52708463356139,0,0,1,0
65,75,75.52708463356139,0.8791208791208791,0,1,0
66,75,75.52708463356139,0,0,1,0
67,75,75.52708463356139,0,0,1,0
68,75,75.52708463356139,0.8888888888888888,0,1,0
69,75,75.52708463356139,0,0,1,0
70,75,75.52708463356139,0,0,1,0
71,75,75.52708463356139,0.9090909090909091,0,1,0
72,75,75.52708463356139,0,0,1,0
73,75,75.52708463356139,0.9090909090909091,0,1,0
74,75,75.52708463356139,0,0,1,0
75,75,75.52708463356139,0,0,1,0
76,75,75.52708463356139,0,0,1,0
77,75,75.52708463356139,0,0,1,0
78,75,75.52708463356139,0,0,1,0
79,75,75.52708463356139,0,0,1,0
80,75,75.52708463356139,0.9195402298850575,0,1,0
81,75,75.52708463356139,0,0,1,0
82,75,75.52708463356139,0,0,1,0
83,75,75.52708463356139,0,0,1,0
84,75,75.52708463356139,0,0,1,0
85,75,75.52708463356139,0,0,1,0
86,75,75.52708463356139,0,0,1,0
87,75,75.52708463356139,0,1,1,0
88,75,75.52708463356139,0.9195402298850575,0,1,0
89,75,75.52708463356139,0,0,1,0
90,75,75.52708463356139,0,0,1,0
91,75,75.52708463356139,0,0,1,0
92,75,75.52708463356139,0,0,1,0
93,75,75.52708463356139,0,0,1,0
94,75,75.52708463356139,0,0,1,0
95,75,75.52708463356139,0,0,1,0
96,75,75.52708463356139,0,1,1,0
97,75,75.52708463356139,0,0,1,0
98,75,75.52708463356139,0.898876404494382,0,1,0
99,75,75.52708463356139,0.9411764705882353,0,1,0
100,75,75.52708463356139,0.8791208791208791,0,1,0
101,75,75.52708463356139,0,0,1,0
0,60,42.6375144336464,0.9411764705882353,0,1,0
1,60,42.6375144336464,0,0,1,0
2,60,42.6375144336464,0,0,1,0
3,60,42.6375144336464,0,0,1,0
4,60,42.6375144336464,0,0,1,0
5,60,42.6375144336464,0,0,1,0
6,60,42.6375144336464,0.8602150537634409,0,1,0
7,60,42.6375144336464,0,0,1,0
8,60,42.6375144336464,0,0,1,0
9,60,42.6375144336464,0.8602150537634409,0,1,0
10,60,42.6375144336464,0,0,1,0
11,60,42.6375144336464,0,0,1,0
12,60,42.6375144336464,0,2,1,0
13,60,42.6375144336464,0.8695652173913043,0,1,0
14,60,42.6375144336464,0,1,1,0
15,60,42.6375144336464,0,0,1,0
16,60,42.6375144336464,0,0,1,0
17,60,42.6375144336464,0,0,1,0
18,60,42.6375144336464,0.9302325581395349,0,1,0
19,60,42.6375144336464,0,1,1,0
20,60,42.6375144336464,0,0,1,0
21,60,42.6375144336464,0.8602150537634409,0,1,0
22,60,42.6375144336464,0.8695652173913043,0,1,0
23,60,42.6375144336464,16,1,1,0
24,60,42.6375144336464,0.898876404494382,0,1,0
25,60,42.6375144336464,0.8602150537634409,0,1,0
26,60,42.6375144336464,0.9090909090909091,0,1,0
27,60,42.6375144336464,0,0,1,0
28,60,42.6375144336464,0,0,1,0
29,60,42.6375144336464,0,0,1,0
30,60,42.6375144336464,0.8695652173913043,0,1,0
31,60,42.6375144336464,0.8695652173913043,0,1,0
32,60,42.6375144336464,0.9090909090909091,0,1,0
33,60,42.6375144336464,0.8791208791208791,0,1,0
34,60,42.6375144336464,0.8695652173913043,0,1,0
35,60,42.6375144336464,0,0,1,0
36,60,42.6375144336464,0,0,1,0
37,60,42.6375144336464,0.8888888888888888,0,1,0
38,60,42.6375144336464,0,0,1,0
39,60,42.6375144336464,0,0,1,0
40,60,42.6375144336464,0,0,1,0
41,60,42.6375144336464,0,1,1,0
42,60,42.6375144336464,0,0,1,0
43,60,42.6375144336464,0,0,1,0
44,60,42.6375144336464,0,0,1,0
45,60,42.6375144336464,0,0,1,0
46,60,42.6375144336464,0,0,1,0
47,60,42.6375144336464,0,0,1,0
48,60,42.6375144336464,0,0,1,0
49,60,42.6375144336464,0,0,1,0
50,60,42.6375144336464,0,0,1,0
51,60,42.6375144336464,0.8791208791208791,0,1,0
52,60,42.6375144336464,0,0,1,0
53,60,42.6375144336464,0,0,1,0
54,60,42.6375144336464,0,0,1,0
55,60,42.6375144336464,0,0,1,0
56,60,42.6375144336464,0,0,1,0
57,60,42.6375144336464,0.8695652173913043,0,1,0
58,60,42.6375144336464,0.898876404494382,0,1,0
59,60,42.6375144336464,0,0,1,0
60,60,42.6375144336464,0,0,1,0
61,60,42.6375144336464,0.8791208791208791,0,1,0
62,60,42.6375144336464,0.8421052631578947,0,1,0
63,60,42.6375144336464,0.8888888888888888,0,1,0
64,60,42.6375144336464,0,0,1,0
65,60,42.6375144336464,0.8791208791208791,0,1,0
66,60,42.6375144336464,0,0,1,0
67,60,42.6375144336464,0,0,1,0
68,60,42.6375144336464,0.8888888888888888,0,1,0
69,60,42.6375144336464,0,0,1,0
70,60,42.6375144336464,0,0,1,0
71,60,42.6375144336464,0.9090909090909091,0,1,0
72,60,42.6375144336464,0,0,1,0
73,60,42.6375144336464,0.9090909090909091,0,1,0
74,60,42.6375144336464,0,0,1,0
75,60,42.6375144336464,0,2,1,0
76,60,42.6375144336464,0,0,1,0
77,60,42.6375144336464,0,0,1,0
78,60,42.6375144336464,0,0,1,0
79,60,42.6375144336464,0,0,1,0
80,60,42.6375144336464,0,1,1,0
81,60,42.6375144336464,0,0,1,0
82,60,42.6375144336464,0,0,1,0
83,60,42.6375144336464,0,0,1,0
84,60,42.6375144336464,0,0,1,0
85,60,42.6375144336464,0,0,1,0
86,60,42.6375144336464,0,0,1,0
87,60,42.6375144336464,0.8888888888888888,0,1,0
88,60,42.6375144336464,0.9195402298850575,0,1,0
89,60,42.6375144336464,0,0,1,0
90,60,42.6375144336464,0,0,1,0
91,60,42.6375144336464,0,0,1,0
92,60,42.6375144336464,0,0,1,0
93,60,42.6375144336464,0,0,1,0
94,60,42.6375144336464,0,0,1,0
95,60,42.6375144336464,0,0,1,0
96,60,42.6375144336464,0,0,1,0
97,60,42.6375144336464,0,0,1,0
98,60,42.6375144336464,0.898876404494382,0,1,0
99,60,42.6375144336464,0.9411764705882353,0,1,0
